Country,Code,Continent,GDP,DeathRate,Population,Value
Afghanistan,AFG,Asia,1803.987487,0.01829,54.42220537,0
Albania,ALB,Europe,11803.43059,6.25457,104.8706934,2
Algeria,DZA,Africa,13913.83936,0.08457,17.34787368,1
Andorra,AND,Europe,42030,3.69786,163.7553191,2
Angola,AGO,Africa,5819.494971,0.02586,23.89042512,1
Antigua and Barbuda,ATG,North America,21490.94266,2.91771,231.8454545,4
Argentina,ARG,South America,18933.90715,2.68357,16.17685635,5
Armenia,ARM,Asia,8787.57994,1.49443,102.9311556,0
Australia,AUS,Oceania,44648.70991,0,3.202027127,3
Austria,AUT,Europe,45436.68582,2.31614,106.7485671,2
Azerbaijan,AZE,Asia,15847.41883,0.42271,119.3088685,0
Bahamas,BHS,North America,27717.8473,1.45314,39.4966034,4
Bahrain,BHR,Asia,43290.70452,1.34329,1935.906615,0
Bangladesh,BGD,Asia,3523.983851,0.05814,1265.036114,0
Barbados,BRB,North America,16978.06769,0.49714,664.4627907,4
Belarus,BLR,Europe,17167.96726,0.89186,46.85759696,2
Belgium,BEL,Europe,42658.57617,2.14486,375.5636724,2
Belize,BLZ,North America,7824.362459,0.71857,16.42617273,4
Benin,BEN,Africa,2064.236334,0.07071,99.11042923,1
Bhutan,BTN,Asia,8708.597121,0,21.18765905,0
Bolivia,BOL,South America,6885.828577,1.738,10.20179082,5
Botswana,BWA,Africa,15807.37359,3.94871,4.043655709,1
Brunei,BRN,Asia,71809.25058,0,81.34667932,0
Burkina Faso,BFA,Africa,1703.101629,0.00686,70.15125,1
Burundi,BDI,Africa,702.225313,0,423.0625,1
Cameroon,CMR,Africa,3364.926056,0.269,50.88474329,1
Canada,CAN,North America,44017.59091,0.81357,4.03673422,4
Cape Verde,CPV,Africa,6222.554166,0.77086,135.5801489,1
Central African Republic,CAF,Africa,661.2399677,0,7.4,1
Chad,TCD,Africa,1768.153411,0.09571,11.83290502,1
Chile,CHL,South America,22767.03719,3.916,24.28237924,5
China,CHN,Asia,15308.71212,0.00029,147.674035,0
Colombia,COL,South America,13254.94922,1.87814,44.22317711,5
Comoros,COM,Africa,1413.890036,0.32857,437.3519613,1
Congo,COG,Africa,4881.405744,0.07771,15.40483163,1
Costa Rica,CRI,North America,15524.99456,0.53286,96.07851547,4
Cote d'Ivoire,CIV,Africa,3601.005901,0.07057,76.39858491,1
Croatia,HRV,Europe,22669.79655,2.47071,73.72587563,2
Cuba,CUB,North America,8541,0.31529,110.40796,4
Cyprus,CYP,Europe,32415.13223,0.65243,127.6570346,2
Democratic Republic of Congo,COD,Africa,808.1332134,0.00157,35.87922101,1
Denmark,DNK,Europe,46682.51472,0.24657,136.519876,2
Djibouti,DJI,Africa,,0,41.28494392,1
Dominican Republic,DOM,North America,14600.86058,0.85586,222.8730698,4
Ecuador,ECU,South America,6344.58,1.36857,66.93854888,5
Egypt,EGY,Africa,10550.2065,0.41614,97.99904666,1
El Salvador,SLV,North America,7292.457804,1.057,307.8114382,4
Equatorial Guinea,GNQ,Africa,22604.87329,0.50914,45.19390374,1
Eritrea,ERI,Africa,900,0.04029,46.6,1
